wikidata|samian
Q103145968|1000003
Q103155047|1000004
Q103163787|1000005
Q103164151|1000006
Q103158925|1000007
Q103164683|1000008
Q103148922|1000009
Q103159579|1000010
Q103180889|1000011
Q103197564|1000012
Q103199264|1000013
Q103192133|1000014
Q103162666|1000015
Q103181626|1000016
Q103198703|1000017
Q103144035|1000018
Q103138400|1000019
Q103161258|1000020
Q103182244|1000021
Q103143701|1000024
Q103198144|1000025
Q103161333|1000026
Q103162250|1000027
Q103157948|1000028
Q103164008|1000029
Q103193276|1000030
Q103199566|1000031
Q103197897|1000032
Q103167091|1000033
Q103194133|1000034
Q103195911|1000035
Q103162635|1000036
Q103196675|1000037
Q103163672|1000038
Q103162079|1000039
Q103174860|1000040
Q103161542|1000042
Q103197913|1000043
Q103199827|1000044
Q103144005|1000045
Q103192629|1000046
Q103158050|1000047
Q103160534|1000048
Q103162333|1000049
Q103186201|1000051
Q103160140|1000052
Q103182463|1000054
Q103189055|1000055
Q103173030|1000056
Q103199080|1000057
Q103198624|1000058
Q103191397|1000059
Q103199364|1000060
Q103196026|1000061
Q103160276|1000062
Q103159889|1000063
Q103192674|1000064
Q103186562|1000066
Q103149297|1000067
Q103157958|1000068
Q103163346|1000069
Q103182180|1000070
Q103166120|1000071
Q103142654|1000072
Q103138686|1000073
Q103158921|1000074
Q103159759|1000076
Q103163593|1000077
Q103188965|1000078
Q103187368|1000079
Q103159803|1000080
Q103146376|1000081
Q103176140|1000082
Q103176085|1000083
Q103195419|1000084
Q103190502|1000085
Q103189891|1000086
Q103158176|1000088
Q103165150|1000089
Q103187690|1000090
Q103182085|1000091
Q103162245|1000092
Q103183592|1000093
Q103158136|1000094
Q103191644|1000095
Q103145226|1000096
Q103148665|1000097
Q103162350|1000098
Q103163257|1000099
Q103163979|1000100
Q103159664|1000101
Q103162490|1000102
Q103184252|1000103
Q103160667|1000104
Q103141309|1000106
Q103199464|1000108
Q103190123|1000110
Q103164286|1000111
Q103198040|1000112
Q103158999|1000113
Q103198086|1000114
Q103187710|1000116
Q103150753|1000117
Q103145396|1000118
Q103198105|1000119
Q103185650|1000120
Q103139649|1000121
Q103143322|1000122
Q103145662|1000123
Q103194513|1000124
Q103181556|1000125
Q103146807|1000126
