wikidata|samian
Q103136249|2000101
Q103136253|2000102
Q103136256|2000103
Q102763431|2000001
Q103135455|2000002
Q103135459|2000003
Q103135467|2000004
Q103135471|2000005
Q103135475|2000006
Q103135481|2000007
Q103135496|2000008
Q103135500|2000009
Q103135508|2000010
Q103135513|2000011
Q103135517|2000012
Q103135521|2000013
Q103135526|2000014
Q103135532|2000015
Q103135540|2000016
Q103135546|2000017
Q103135552|2000018
Q103135554|2000019
Q103135559|2000020
Q103135565|2000021
Q103135570|2000022
Q103135575|2000023
Q103135580|2000024
Q103135582|2000025
Q103135588|2000026
Q103135593|2000027
Q103135600|2000028
Q103135608|2000029
Q103135613|2000030
Q103135618|2000031
Q103135621|2000032
Q103135627|2000033
Q103135630|2000034
Q103135638|2000035
Q103135642|2000036
Q103135647|2000037
Q103135650|2000038
Q103135658|2000039
Q103135664|2000040
Q103135669|2000041
Q103135673|2000042
Q103135681|2000043
Q103135687|2000044
Q103135692|2000045
Q103135695|2000046
Q103135703|2000047
Q103135708|2000048
Q103135714|2000049
Q103135717|2000050
Q103135724|2000051
Q103135730|2000052
Q103135734|2000053
Q103135739|2000054
Q103135744|2000055
Q103135749|2000056
Q103135752|2000057
Q103135756|2000058
Q103135761|2000059
Q103135765|2000060
Q103135769|2000061
Q103135773|2000062
Q103135778|2000063
Q103135784|2000064
Q103135788|2000065
Q103135792|2000066
Q103135797|2000067
Q103135800|2000068
Q103135808|2000069
Q103135811|2000070
Q103135816|2000071
Q103135824|2000072
Q103135828|2000073
Q103135835|2000074
Q103135842|2000075
Q103135846|2000076
Q103135850|2000077
Q103135855|2000078
Q103135861|2000079
Q103135866|2000080
Q103135880|2000081
Q103135891|2000082
Q103135899|2000083
Q103135906|2000084
Q103135911|2000085
Q103135914|2000086
Q103135920|2000087
Q103135933|2000088
Q103135942|2000089
Q103135947|2000090
Q103135954|2000091
Q103135960|2000092
Q103135970|2000093
Q103135980|2000094
Q103136219|2000095
Q103136223|2000096
Q103136227|2000097
Q103136235|2000098
Q103136239|2000099
Q103136244|2000100
